tokenID,name,description,file_name,external_url,attributes[Character Type],attributes[Gender],attributes[Origin],attributes[Eyes],attributes[Headwear],attributes[Hair],attributes[Hair Length],attributes[Facial Hair],attributes[Rarity Tier],attributes[Earrings],attributes[Facial Markings],attributes[Expression],attributes[Facial Structure]
33,Wall Street Trader #33,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,33.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Mustache,Rare,,,Smirk,Soft
34,Wall Street Trader #34,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,34.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Calm,Soft
35,Wall Street Trader #35,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,35.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Satoshi,Glasses,,Receding,Short,,1/1,,,Calm,Balanced
36,Wall Street Trader #36,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,36.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Slight Smile,Soft
37,Wall Street Trader #37,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,37.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Laser,,Curly,Medium,,Legendary,,,Grinning,Compact
38,Wall Street Trader #38,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,38.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Wide
39,Wall Street Trader #39,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,39.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Stern,Compact
40,Wall Street Trader #40,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,40.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Slight Smile,Oval
41,Wall Street Trader #41,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,41.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Goatee,Rare,,,Smirk,Long
42,Wall Street Trader #42,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,42.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Smirk,Wide
43,Wall Street Trader #43,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,43.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Grinning,Oval
44,Wall Street Trader #44,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,44.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Mustache,Rare,,,Slight Smile,Oval
45,Wall Street Trader #45,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,45.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,,Common,,,Slight Smile,Compact
46,Wall Street Trader #46,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,46.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Stern,Compact
47,Wall Street Trader #47,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,47.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Spiky,Short,,Legendary,,Forehead Symbol,Serious,Narrow
48,Wall Street Trader #48,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,48.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Calm,Oval
49,Wall Street Trader #49,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,49.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,Crown,Straight,Short,Beard,Legendary,,,Slight Smile,Long
50,Wall Street Trader #50,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,50.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Stern,Long
51,Wall Street Trader #51,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,51.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Smirk,Oval
52,Wall Street Trader #52,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,52.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Calm,Compact
53,Wall Street Trader #53,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,53.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Beard,Common,,,Smirk,Long
54,Wall Street Trader #54,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,54.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Stubble,Common,,,Calm,Soft
55,Wall Street Trader #55,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,55.png,https://commitprotocol.org/wall-street-traders/,Alien,Male,Pop Culture,Standard,,Spiky,Short,,Rare,,,Neutral,Round
56,Wall Street Trader #56,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,56.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Goatee,Rare,,,Slight Smile,Long
57,Wall Street Trader #57,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,57.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Spiky,Short,,Legendary,Triple Drop Earrings,Eye Scar,Grinning,Angular
58,Wall Street Trader #58,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,58.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Grinning,Compact
59,Wall Street Trader #59,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,59.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Slight Smile,Oval
60,Wall Street Trader #60,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,60.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Medium,Stubble,Common,,,Stern,Wide
61,Wall Street Trader #61,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,61.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Smirk,Soft
62,Wall Street Trader #62,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,62.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Calm,Wide
63,Wall Street Trader #63,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,63.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Ponytail,Long,,Rare,,,Stern,Wide
64,Wall Street Trader #64,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,64.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Mustache,Rare,,,Slight Smile,Long
65,Wall Street Trader #65,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,65.png,https://commitprotocol.org/wall-street-traders/,Alien,Male,Pop Culture,Standard,,Spiky,Medium,,Rare,,,Neutral,Round
66,Wall Street Trader #66,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,66.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Stern,Angular
67,Wall Street Trader #67,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,67.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Medium,,Common,,,Stern,Wide
68,Wall Street Trader #68,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,68.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Straight,Medium,Goatee,Rare,,,Serious,Narrow
69,Wall Street Trader #69,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,69.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Grinning,Angular
70,Wall Street Trader #70,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,70.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,,Common,,,Slight Smile,Compact
71,Wall Street Trader #71,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,71.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Goatee,Common,,,Smirk,Soft
72,Wall Street Trader #72,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,72.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Long,,Common,,,Stern,Wide
73,Wall Street Trader #73,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,73.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Grinning,Balanced
74,Wall Street Trader #74,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,74.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Grinning,Narrow
75,Wall Street Trader #75,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,75.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Slight Smile,Long
76,Wall Street Trader #76,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,76.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Grinning,Compact
77,Wall Street Trader #77,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,77.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Compact
78,Wall Street Trader #78,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,78.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Grinning,Long
79,Wall Street Trader #79,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,79.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Calm,Wide
80,Wall Street Trader #80,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,80.png,https://commitprotocol.org/wall-street-traders/,Baghead,Unspecified,Web3 Tribute,Standard,,,,,Legendary,,,Distinctive,Distinctive
81,Wall Street Trader #81,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,81.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Smirk,Wide
82,Wall Street Trader #82,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,82.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Stern,Long
83,Wall Street Trader #83,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,83.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Stern,Angular
84,Wall Street Trader #84,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,84.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Slight Smile,Long
85,Wall Street Trader #85,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,85.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Grinning,Angular
86,Wall Street Trader #86,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,86.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Coily,Long,,Common,,,Stern,Wide
87,Wall Street Trader #87,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,87.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Grinning,Angular
88,Wall Street Trader #88,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,88.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Beard,Rare,,,Smirk,Soft
89,Wall Street Trader #89,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,89.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,Beard,Rare,,,Calm,Balanced
90,Wall Street Trader #90,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,90.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Stern,Wide
91,Wall Street Trader #91,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,91.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,Beard,Common,,,Slight Smile,Long
92,Wall Street Trader #92,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,92.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Ponytail,Long,,Rare,,,Slight Smile,Oval
93,Wall Street Trader #93,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,93.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Grinning,Long
94,Wall Street Trader #94,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,94.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Smirk,Wide
95,Wall Street Trader #95,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,95.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Coily,Short,,Common,,,Smirk,Long
96,Wall Street Trader #96,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,96.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Slight Smile,Long
97,Wall Street Trader #97,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,97.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Soft
98,Wall Street Trader #98,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,98.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,,Common,,,Smirk,Compact
99,Wall Street Trader #99,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,99.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Stern,Compact
100,Wall Street Trader #100,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,100.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Slight Smile,Long
101,Wall Street Trader #101,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,101.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,,Common,,,Grinning,Soft
102,Wall Street Trader #102,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,102.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Stern,Long
103,Wall Street Trader #103,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,103.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,Stubble,Rare,,,Calm,Compact
104,Wall Street Trader #104,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,104.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Grinning,Wide
105,Wall Street Trader #105,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,105.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,,Common,,,Calm,Balanced
106,Wall Street Trader #106,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,106.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Stern,Soft
107,Wall Street Trader #107,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,107.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Stern,Balanced
108,Wall Street Trader #108,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,108.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Slight Smile,Angular
109,Wall Street Trader #109,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,109.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Slight Smile,Angular
110,Wall Street Trader #110,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,110.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Slight Smile,Soft
111,Wall Street Trader #111,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,111.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,Stubble,Common,,,Calm,Long
112,Wall Street Trader #112,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,112.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Long,,Common,,,Stern,Compact
113,Wall Street Trader #113,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,113.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Calm,Compact
114,Wall Street Trader #114,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,114.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,,Common,,,Stern,Wide
115,Wall Street Trader #115,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,115.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Neutral,Wide
116,Wall Street Trader #116,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,116.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Coily,Long,,Common,,,Slight Smile,Oval
117,Wall Street Trader #117,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,117.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,Hijab,,,,Rare,,,Smirk,Angular
118,Wall Street Trader #118,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,118.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Grinning,Wide
119,Wall Street Trader #119,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,119.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Serious,Oval
120,Wall Street Trader #120,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,120.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,Kufi,,Short,Beard,Rare,,,Calm,Long
121,Wall Street Trader #121,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,121.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Ponytail,Long,Goatee,Rare,,,Grinning,Compact
122,Wall Street Trader #122,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,122.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Grinning,Oval
123,Wall Street Trader #123,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,123.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Stubble,Common,,,Slight Smile,Long
